start	end	text
0	4600	A 40-year-old goalkeeper just did them possible at the World Cup and gave 11 million followers
4600	5600	overnight.
5600	8000	This happened for three reasons, and it'll start off with reason number one.
8000	10680	He didn't just play Spain, the tournament's favorites.
10680	15600	He completely shut them out, literally zero goals, and yes, Cape Verde is only on their second
15600	17000	World Cup ever.
17000	21120	And the man himself, Vosigno, was a keeper in front of the net for Cape Verde that
21120	23520	caused a draw against the tournament's favorites.
23520	27760	Reason number two is the keeper from Cape Verde, Vosigno, is 40 years old.
27760	31040	The Aves stabbed most keepers are retired and probably coaching kids.
31040	34220	While there's 18-year-old keepers out there tied to make a name for themselves, so this
34220	37800	40-year-old keeper showed that experience is only a superpower.
37800	41000	And reason number three, the Internet loves a good underdog story.
41000	45040	No-in-ite Cape Verde is a country with under 200,000 people, and a lot of the players on
45040	47080	the team still have a regular day job.
47080	52560	No-in that alone goes to show you exactly why he went from 50,000 followers to over
52560	58080	10 million followers after just one game in the World Cup, up to 2026.
58080	62160	The World Cup really is the tournament where one moment can change it all for a player,
62160	66000	which is why the World Cup is a very, very special thing that we all get to enjoy.
66000	68440	Who's the next player this World Cup that's going to break the Internet?
